nop,nome
10,Laura Fonseca
15,Jorge Pinto
28,Joana Matias
34,Lara Pinto
46,Daniel Batista
50,Petra Henriques
53,Teresa Macedo
54,Emma Amorim
67,Maria Teixeira-Cruz
75,Salomé Costa
82,Micael Rodrigues
85,Raquel do Neves
89,Renato Rocha-Leal
94,Jéssica Garcia
97,Júlia Ribeiro
103,Xavier Lopes
107,Filipe do Maia
116,Matilde-Vera Santos
123,Luciana Tavares
130,Santiago Nunes
135,Larissa Pinheiro
137,Alexandre da Ferreira
138,Caetana Cruz
139,Ema Torres
143,Larissa Antunes
144,Luciana Matias
149,Luca Castro
150,Mafalda Branco
174,Andreia Amaral
176,Carlota Leite
183,Yara Borges
184,Tomé Amaral
195,Lorena Freitas
198,Lorena Gonçalves-Rocha
202,Dinis Pinheiro
206,Lisandro Pinto
208,Iara da Assunção
211,Constança Guerreiro
212,Caetana Rocha
219,Mia-Margarida Rocha
220,Frederico Moreira
222,Vicente do Leite
227,Nelson Amaral
229,Rúben Silva
230,Ângela Loureiro
242,Rafaela Fonseca
243,Ema Abreu
249,Petra Vaz
263,André Reis
265,Denis Lourenço
273,Joaquim Nogueira
281,Alexandre Amaral
287,Luciana da Alves
298,Vera Baptista
325,Mauro Mendes
329,Ângela Teixeira
349,Rodrigo Matos
354,Luna Borges
355,Andreia Leite
358,André Vieira
361,Luca Nascimento
367,Nair Borges
371,Lourenço Lima
373,Álvaro Rodrigues
376,Luca Torres
377,Joaquim Marques-Mota
379,Bruno Maia
383,Wilson Magalhães
397,Yara Oliveira
398,Inês Machado
401,Marcos Moura
404,Duarte Anjos
405,Daniela de Ribeiro
408,Ana Lopes
415,Tatiana Fernandes
422,Brian Araújo
432,Renata-Leonor Marques
447,Iara Fernandes
453,Naiara Oliveira
478,Mauro Amaral
482,Victória Fonseca
483,Sara Macedo-Morais
492,Diego Valente
494,Amélia Silva-Pinho
506,Mia Neves
507,Nelson Guerreiro
509,Tomé Freitas
526,Diana Rocha
532,David da Coelho
536,Amélia Cruz
537,Mauro Neves
540,Samuel Batista
541,Marcos Amaral
544,Patrícia Marques
548,Ema Pinheiro
553,Emma da Oliveira
571,Francisca Soares-Rodrigues
576,Juliana Melo
577,Laura Sousa
588,Xavier Costa
603,Leonor Anjos
628,António Fernandes
631,Nádia-Camila Pinto
643,Diego Fernandes
650,Cristiano Borges
675,Rita Sousa
680,Mauro Nunes
682,Valentina Vicente
684,Miguel Carvalho
685,Constança Domingues
707,Érica Neves
713,Henrique Silva
714,Júlia Azevedo
718,Érica Moreira
719,Bárbara Tavares
725,Kevin Cruz
735,Júlia da Reis
736,Tomé Miranda
742,Lia do Gonçalves
743,Santiago Almeida
755,Andreia Lourenço
759,Mateus Antunes
772,Mélanie Vieira
788,Rafael Araújo
799,Patrícia Guerreiro
802,Bárbara Leite-Antunes
814,Mateus da Pinho
830,Ana Monteiro
834,Júlia Leal-Rocha
840,Flor Moura
850,Naiara da Magalhães
855,Rita Leite
857,Amélia de Castro
861,Emília Barros
863,Ariana do Machado
867,Vitória Correia-Moura
870,Vítor Baptista
871,Violeta Andrade-Domingues
873,Salvador Borges-Matos
874,Santiago Brito
883,Daniela Marques-Barros
885,Mateus Pereira
894,Leandro Leal
896,Salomé-Irina Gonçalves
897,Valentim Melo
910,Carlos do Almeida
918,Marta Vicente
925,Vasco Matias
930,Simão Henriques-Ribeiro
933,Duarte Lopes
934,Wilson Ramos
936,Kevin Almeida
947,Kévim Valente
961,Catarina-Pilar Sá
969,Helena Henriques
980,Bruno da Melo
982,Kevin Pires-Moura
984,Carlos Neto
986,Vicente Ferreira
987,Nicole Araújo
991,Tiago Guerreiro
996,Sandro Neves
1009,David Tavares
1015,Nicole Castro
1022,Joaquim Macedo
1042,Sara Teixeira
1052,Márcio Valente
1056,Luís Pires-Nogueira
1057,Luana Gonçalves
1068,Carminho Carvalho
1069,Leandro Santos
1077,Pilar Simões
1078,Vasco de Moura
1080,Benjamim Andrade
1082,Bruna de Cruz
1093,Érica Machado
1098,Rita-Bruna Amaral
1099,Luís Gonçalves
1106,Rafael Moura
1114,Ana-Nair Pereira
1116,Salomé Torres
1123,Rafael Tavares
1125,David Simões
1128,Vasco da Nunes
1130,Petra Moura-Mendes
1131,Mafalda Monteiro
1133,Nicole de Sá
1137,Emma Lima
1141,Emma Figueiredo-Vaz
1142,Manuel Gaspar
1143,Martim Gonçalves
1144,Gil Fonseca
1145,Francisco Magalhães
1149,Brian Ribeiro
1161,Cláudio Pinto
1168,Sandro Machado
1169,Matilde Barbosa
1171,Valentina do Nogueira
1174,Leandro Lima
1181,Noah da Carneiro
1189,João Gomes
1194,Cláudio Campos
1196,Marco Silva
1197,Nuno Azevedo
1202,Matias Nunes
1205,Vítor Gonçalves
1206,Teresa Silva
1207,Isabel Morais
1220,Ivo da Vicente
1238,Miriam Nogueira-Soares
1248,Samuel Paiva
1253,Mia Barros
1257,Marta Rocha
1258,Noa Vicente
1261,Jéssica Valente
1274,Pedro Coelho
1290,Hugo Lopes
1307,Carlos Araújo
1308,Kévim Nascimento
1311,Petra Loureiro-Moura
1333,Leonor Brito
1340,Nicole Valente-Valente
1351,Renato de Correia
1357,Nelson Ferreira
1364,Mélanie Pereira
1379,Rafael Melo
1381,Constança-Eva Maia
1410,Ângela de Amorim
1412,Clara Azevedo
1417,Miriam Alves
1418,Cláudio Antunes
